date,rate
01/06/2015,1.529157
02/06/2015,1.520600
03/06/2015,1.535756
04/06/2015,1.532250
05/06/2015,1.537279
06/06/2015,1.527440
07/06/2015,1.526694
08/06/2015,1.526694
09/06/2015,1.533060
10/06/2015,1.537551
11/06/2015,1.551590
12/06/2015,1.549667
13/06/2015,1.555936
14/06/2015,1.555851
15/06/2015,1.555851
16/06/2015,1.558834
17/06/2015,1.563893
18/06/2015,1.572080
19/06/2015,1.586244
20/06/2015,1.588272
21/06/2015,1.588360
22/06/2015,1.588360
23/06/2015,1.581565
24/06/2015,1.572080
25/06/2015,1.570105
26/06/2015,1.574555
27/06/2015,1.572203
28/06/2015,1.575150
29/06/2015,1.575150
30/06/2015,1.575548
01/07/2015,1.573317
02/07/2015,1.560598
03/07/2015,1.560342
04/07/2015,1.558300
05/07/2015,1.557050
06/07/2015,1.557050
07/07/2015,1.561524
08/07/2015,1.543925
09/07/2015,1.534213
10/07/2015,1.534684
11/07/2015,1.548947
12/07/2015,1.551699
13/07/2015,1.552554
14/07/2015,1.549187
15/07/2015,1.562012
16/07/2015,1.564211
17/07/2015,1.560793
18/07/2015,1.560306
19/07/2015,1.560196
20/07/2015,1.560196
21/07/2015,1.557390
22/07/2015,1.556263
23/07/2015,1.559260
24/07/2015,1.551037
25/07/2015,1.551145
26/07/2015,1.551001
27/07/2015,1.551049
28/07/2015,1.556541
29/07/2015,1.561037
30/07/2015,1.562988
31/07/2015,1.558701
01/08/2015,1.563404
02/08/2015,1.562195
03/08/2015,1.562195
04/08/2015,1.558895
05/08/2015,1.558361
06/08/2015,1.561524
07/08/2015,1.551350
08/08/2015,1.548467
09/08/2015,1.549391
10/08/2015,1.549391
11/08/2015,1.559248
12/08/2015,1.557147
13/08/2015,1.562988
14/08/2015,1.560184
15/08/2015,1.564443
16/08/2015,1.564248
17/08/2015,1.564248
18/08/2015,1.559600
19/08/2015,1.565374
20/08/2015,1.568135
21/08/2015,1.567521
22/08/2015,1.570105
23/08/2015,1.569403
24/08/2015,1.569403
25/08/2015,1.575796
26/08/2015,1.568800
27/08/2015,1.547748
28/08/2015,1.540393
29/08/2015,1.539836
30/08/2015,1.539101
31/08/2015,1.539101
01/09/2015,1.534743
02/09/2015,1.530702
